Date,Kernel,log returns
2019-01-02,11.928454384469704,-7.094952715464009
2019-01-03,7.230275405829722,-3.198070782489104
2019-01-04,7.2791192337406825,5.61941944451374
2019-01-07,6.862582480444189,5.284549022236318
2019-01-08,6.42048139352962,0.11637450026555918
2019-01-09,5.350791707191865,0.9231976515280405
2019-01-10,5.034114699187506,1.8937243657854985
2019-01-11,4.880473947605208,0.6732864640614178
2019-01-14,3.936557609207482,-3.7649503372862547
2019-01-15,4.505754492647994,2.891405502110045
2019-01-16,3.2646467781968322,0.5244640623730756
2019-01-17,2.824038778707976,0.37211760303703656
2019-01-18,9.343841759286063,-13.896326339084508
2019-01-22,6.744536498037792,-1.1078510432812383
2019-01-23,13.16940655835904,-3.8570583305074457
2019-01-24,7.81923595206063,1.4120481116662642
2019-01-25,3.7807834195256467,1.765266406713062
2019-01-28,5.756236475969678,-0.17023862796565759
2019-01-29,3.9104693988478596,0.40405455826810766
2019-01-30,3.7685795100346455,3.707426344707665
2019-01-31,9.200613552203869,-0.6040940748314849
2019-02-01,4.262731186760532,1.7470372486980246
2019-02-04,6.345321236461066,0.1391566056019311
2019-02-05,3.1393185365651,2.660767472383707
2019-02-06,3.7166205959529885,-1.2655621094471048
2019-02-07,4.690991204291488,-3.066625298036074
2019-02-08,4.160001425291708,-0.6048224761172616
2019-02-11,4.178430875973183,2.2874305070947454
2019-02-12,2.4077653703580766,-0.332981449406633
2019-02-13,2.6809720171523583,-1.2099458753997983
2019-02-14,3.615263930494113,-1.399081398643709
2019-02-15,1.5491005978716255,1.3422581417919854
2019-02-19,2.0394275238387123,-0.7416557357708076
2019-02-20,3.233956843949366,-1.0129333162839593
2019-02-21,4.118051822990993,-3.8238813462065036
2019-02-22,2.766362209890135,1.1982323709708087
2019-02-25,3.3462291240315962,1.2845976477768861
2019-02-26,5.357223694336715,-0.2331022931886917
2019-02-27,4.522164774002653,5.572094532873573
2019-02-28,4.1994999644443,1.5661015522585586
2019-03-01,10.88941157616947,-8.193084893748015
2019-03-04,8.803799368416486,-3.2348763595156704
2019-03-05,12.267235339605985,-3.0824236284472395
2019-03-06,6.861953600908205,-0.19539029988715484
2019-03-07,5.716529061404925,0.18093002945476222
2019-03-08,4.341178336880703,2.6859460675461744
2019-03-11,4.317466707428541,2.351330892991488
2019-03-12,4.8554127747519695,-2.629759888483152
2019-03-13,3.6447963484967763,1.9467630975241068
2019-03-14,3.721925007321501,0.36277615062343394
